#-----------------------------------------------------------------------------------------------------------------
# Name: Keyword Definition File
# Purpose:
#    - NetStorm core and scenario GUI - Take default value of the keyword
#    - Scenario GUI - To avoid saving of default keywords in the scenario file.
#    - Add check in GUI/netstorm to detect duplicate keyword if it is scalar or vector
#    - Instead netstorm will sort in memory/temp file before parsing.
#    - To validate keyword is valid or not
#    - To get list of all Scenario GUI keywords. 
#         Based on this file Scenario GUI shows all keywords which are marked inGUI=No
#         in this file in ""Run Time Settings - Service Options tab - Other Keywords"
#
# Format:
# Keyword|Order|Type|GroupBased|RunTimeChangable|InGUI|keyFields|DefaultValue|InScenarioProfile|Future2|Future3|Format|Comments
#
# Assumptions:
#
#   Keyword is keyword name e.g. G_KA_PCT
#
#   Order is order in which keyword should appear in scenario file so that nestorm can parse it correctly.
#       1.  These are the sorting order which is used to sort the scenario in this order.
#       2.  If Order of keyword does'nt matter then it is 99999 (Will be added at the end of scenario file)
#       3.  If any newer keyword(order of keyword matters) insert then it has Order lesser than 99999
#
#   Type is Scalar or Vector
#             
#   GroupBased ==>
#       1. Possible values are Yes/No.
#       2. If keyword is group based then keywords second argument must be Group Name or ALL
#
#   RunTimeChangable ==>
#       1. Possible values are Yes/No.
#       2. If Yes then Keyword Values can be changed at run time else not.
#
#   InGUI ==>
#       1. Possible values are Yes/No
#       2. If Yes GUI will use this Keyword.
#
#   KeyFields ==>
#       1. Comma seperated list of key field IDs which is used to check and/or remove duplicates keywords
#       2. Field Id start from the first value of keyword which is 0.
#       3. KeyFields are valid only for vector keywords.
#       4. For group based scalar keywords, group name is a implicit key"
#       5. For group based vector keywords, KeyFields should also have group name field which is 0"
#       e.g.
#       G_SESSION_PACING ALL 2 1 0 1 60000
#       G_SESSION_PACING ALL 2 1 0 1 90000
#       G_SESSION_PACING G1 2 1 0 1 60000
#
#       In this keyword, Field s 0 is a implicit key field"
#       then only first field will be checked for duplicacy.
#       After sorting it should be as follows and second will reported as duplicate keyword:
#       G_SESSION_PACING ALL 2 1 0 1 60000
#       G_SESSION_PACING G1 2 1 0 1 60000 
#
#---------------------------------------------------------------------------------------------------
#
##Global Setting
#
#Scenario Type
STYPE|1800|Scalar|No|No|Yes|-|FIX_CONCURRENT_USERS|No|NA|NA|<scen-type>|It describe the type of the scenario FIX_CONCURRENT_USERS or FIX_SESSION_RATE.
SCHEDULE_TYPE|1900|Scalar|No|No|Yes|-|SIMPLE|No|NA|No|TBD|Type of the scheduling simple or advance.
SCHEDULE_BY|1910|Scalar|No|No|Yes|-|SCENARIO|No|NA|No|TBD|It tells that our scheduling is group or scenario based.
#
#Transaction
ENABLE_TRANSACTION_CUMULATIVE_GRAPHS|9999|Scalar|No|No|Yes|-|0|Yes|NA|NA|NA|Cumulative transactions
G_MAX_PAGES_PER_TX|9999|Scalar|Yes|No|No|-|ALL 24|Yes|NA|NA|NA|Maxinum number of page instances allowed in one transactions
#
#TR069 Protocol
TR069_ACS_URL|1950|Scalar|No|No|Yes|-|-|No|NA|NA|NA|ACS Url must be given
TR069_MAIN_ACS_HTTP_URL|1951|Scalar|No|No|Yes|-|-|No|NA|NA|NA|ACS Url must be given
TR069_MAIN_ACS_URL|1952|Scalar|No|No|Yes|-|-|No|NA|NA|NA|ACS Url must be given
TR069_CPE_DATA_DIR|1953|Scalar|No|No|Yes|-|-|No|NA|NA|tr069_data_dir/|All tr069 file will be in one directory.
TR069_OPTIONS|1954|Scalar|No|No|Yes|-|1 1|No|NA|NA|tr069_data_dir/|first is to send auth in first attempt & second option is to take data from tree.
TR069_CPE_REBOOT_TIME|9999|Scalar|No|No|Yes|-|1000 5000|No|NA|NA|tr069_data_dir/|first is to send min time & then maxtime
TR069_CPE_DOWNLOAD_TIME|9999|Scalar|No|No|Yes|-|30000 60000|No|NA|NA|tr069_data_dir/|first is to send min time & then maxtime
TR069_CPE_PERIODIC_INFORM_TIME|9999|Scalar|No|No|Yes|-|120 480|No|NA|NA|tr069_data_dir/|first is to send min time & then maxtime
#
REPLAY_ACCESS_LOGS|2350|Scalar|No|No|Yes|-|-|No|NA|NA|<scen-type>|It replays HTTP/HTTPS requests stored in a file.
REPLAY_FILE|1801|Scalar|No|No|Yes|-|-|No|NA|NA|<scen-type>|All replay file will be in one directory. For Ex:REPLAY_FILE <format-type> <file-dir>.
