#------------------------------------------------------------------------------
# Name: standard_monitors.dat
# Purpose:
# This file contains list of standard monitors with gdf name, monitor name, run option, program type,
# server types, two fields for future used and comments. Fields which not present, default value is NA.
# Format: 
# Monitor Name|Gdf Name| Run Option|Program Name with or without path|Program Type|Fixed Arguments|ServerTypes|MonitorType|Comments|show In GUI|Category Name|monitor UI Json|Record Id|Agent type|Config file
#
# Where
#   Monitor name is name of the monitor
#   GDF name is name of the gdf file with extention
#   Run Optin is 1 - Run every time, 2 - Run once
#   Program name is name with or wihtout path
#   Program type is java, shell or binary
#   Fixed arguments are arguments which are hard code and always passed
#   ServerTypes is the comma separated server types where this monitor is supported
#     All means for all server types. It must be one of these
#        Linux, LinuxEx, Solaris,SunOS, AIX_Shared_LPAR, AIX_Dedicated_LPAR, Windows
#   MonitorType is CM(custom monitor) or DVM(dynamic vector monitor). 
#     Default monitor type is CM and converting monitor type "NA" into "CM" internally.
#   Comments - description. Used by GUI
#   Record Id - used by NDC to uniquely identify monitor data from Application Agent
#   Agent type - Type of agent (CMON or BCI) (if NA is provided, agent type will be CMON)
#   Config file - xml / json config file for Mbean / Rest / DB monitors
# 
# Format of MonitorType: <MonitorType><use_lps><use args>
# Monitor Type:
# 	DVM:  for options -X <vector prefix/noprefix> & -L <header/data>
# 	DVM1: for options -v <vector prefix/noprefix> & -o <header/data> 
# 	DVM2: for options -v <vector prefix/noprefix> this is same as old format
# 	DVM3: for options --prefix <vector prefix/noprefix> --operation show-vector/show-data
# use_lps:
# 	0: do not make connection with lps
# 	1: check if lps server is configure then make connection with lps, else make connection with server given in mprof
# 	NOTE: 'cm_service_stats' is the only monitor in which if use_lps is '0' then we check if lps server is configure or not, if not then 
# 	       we first configure lps server then we make connection with lps server. In this case we never make connection with server 
# 	       given in mprof.
# use_args: 
#  	0: do not send prog args in msg which is used to get vector list
#  	1: send prog args in msg which is used to get vector list
#------------------------------------------------------------------------------
#Java GC 
JavaGC|cm_java_gc.gdf|2|cm_java_gc|java|-o 2|All|NA|Java Garbage Collector monitor. It monitors number of Java GC, time used in GC and JVM memory usage.|No|Java GC|NA
JavaGCExtended|cm_java_gc_ex.gdf|2|cm_java_gc_ex|java|-o 2|All|NA|Detailed Java Garbage Collector monitor. It monitors number of Java GC, time used in GC  for Young and Tenured GC and JVM memory usage for Young, Survivor, Tenured and Permanent generation.|Yes|Java GC|JavaGCFileBased.json
JavaGCExtendedV2|cm_java_gc_ex_v2.gdf|2|cm_java_gc_ex|java|-o 2 -V 2|All|NA|Detailed Java Garbage Collector monitor. It monitors number of Java GC, time used in GC  for Young and Tenured GC and JVM memory usage for Young, Survivor, Tenured and Permanent generation.|Yes|Java GC|JavaGCFileBased.json
JavaGCExtendedV3Stats|cm_java_gc_ex_v3_stats.gdf |2|cm_java_gc_ex|java|-o 2 -E|All|NA|Detailed Java Garbage Collector monitor. It monitors number of Java GC, time used in GC  for Young and Tenured GC and JVM memory usage for Young, Survivor, Tenured and Permanent generation and pause details.|Yes|Java GC|JavaGCFileBased.json
JavaGCExtendedV4Stats|cm_java_gc_ex_v4_stats.gdf|2|cm_java_gc_ex|java|-o 2 -V 2 -E|All|NA|Detailed Java Garbage Collector monitor. It monitors number of Java GC, time used in GC  for Young and Tenured GC and JVM memory usage for Young, Survivor, Tenured and Permanent generation with gc pauses.|Yes|Java GC|JavaGCFileBased.json
JavaGCJrockit|cm_java_gc_ex_jrockit.gdf|2|cm_java_gc_ex|java|-o 2|All|NA|Detailed Java Garbage Collector monitor for JRockit JVM. It monitors number of Java GC, time used in GC  for Young and Tenured GC and Total GC Collections.It does not show those field which do not fetch data for JRockit JVM.|Yes|Java GC|JavaGCFileBased.json
JavaJStatGC|cm_jstat_gc.gdf|2|cm_jstat_gc|shell|NA|Linux,LinuxEx,Solaris,SunOS,AIX_Shared_LPAR,AIX_Dedicated_LPAR|NA|Detailed Java Garbage Collector monitor for SUN JVM only. It monitors number of Java GC, time used in GC  for Young and Full GC and JVM memory usage for Survivor, Eden and Permanent generation.|Yes|Java GC|JavaJStatGC.json
JavaGCJMX|cm_java_gc_jmx.gdf|2|cm_java_gc_jmx|java|-j SunHotSpot|All|NA|Detailed Java Garbage Collector monitor. It monitors number of Java GC, time used in GC  for Young and Tenured GC and JVM memory usage for Young, Survivor, Tenured and Permanent generation.|Yes|Java GC|JMXBasedExtendedMonitor.json
JavaGCJrockitJMX|cm_java_gc_jmx_jrockit.gdf|2|cm_java_gc_jmx|java|-j JRockit|All|NA|Detailed Java Garbage Collector monitor for JRockit JVM. It monitors number of Java GC, time used in GC  for Young and Tenured GC and Total GC Collections.It does not show those field which do not fetch data for JRockit JVM.|Yes|Java GC|JMXBasedExtendedMonitor.json
##
#HPUX 
#System Stats Extended 
SystemStatsExtended|cm_vmstat_ex_hpux.gdf|2|cm_vmstat_ex_hpux|shell|NA|HPUX|NA|System stats monitor. It monitors information  about  processes, memory, paging, block IO, traps and cpu activity.|Yes|System|NA
#TCP
TcpStats|cm_tcp_stats_hpux.gdf|2|cm_tcp_stats_hpux|shell|NA|HPUX|NA|TCP stats monitor for HPUX. It monitors statistics on TCP protocol such as number of packets and ACK send, received and different errors.|Yes|Network|NA
##
#Process Data
ProcessDataExV3|cm_process_data_java.gdf|2|cm_ps_data_ex_v3|java|NA|Linux,LinuxEx,Solaris|DVM:0:1|Extended process data monitor with openfiles stats. It monitors process elapsed time, CPU time, memory used, shared memory,size and open files of a process.|Yes|Process And Thread|ProcessDataExV2Java.json
ProcessData|cm_ps_data.gdf|2|cm_ps_data|shell|NA|Linux,LinuxEx,Solaris,SunOS,AIX_Shared_LPAR,AIX_Dedicated_LPAR,HPUX|NA|Process data monitor. It monitors process elapsed time, CPU time and memory usage.|Yes|Process And Thread|ProcessDataEx.json
ProcessDataEx|cm_ps_data_ex_linux.gdf|2|cm_ps_data_ex|shell|NA|Linux,LinuxEx,Solaris,SunOS|NA|Extended process data monitor. It monitors process elapsed time, CPU time, memory used, shared memory and size of a process.|Yes|Process And Thread|ProcessDataEx.json
ProcessDataExV2|cm_ps_data_ex_v2.gdf|2|cm_ps_data_ex_v2|shell|NA|Linux,LinuxEx,Solaris,SunOS|NA|Extended process data monitor with openfiles stats. It monitors process elapsed time, CPU time, memory used, shared memory,size and open files of a process.|Yes|Process And Thread|ProcessDataEx.json
ProcessDataNew|cm_ps_data.gdf|2|cm_ps_data_ex_v3|java|-V 1|Linux,LinuxEx|NA|Process data monitor. It monitors process elapsed time, CPU time and memory usage.|NO|Process And Thread|ProcessDataEx.json
ProcessDataExNew|cm_ps_data_ex_linux.gdf|2|cm_ps_data_ex_v3|java|-V 2|Linux,LinuxEx|NA|Extended process data monitor. It monitors process elapsed time, CPU time, memory used, shared memory and size of a process.|NO|Process And Thread|ProcessDataEx.json
ProcessDataExV2New|cm_ps_data_ex_v2.gdf|2|cm_ps_data_ex_v3|java|-V 3|Linux,LinuxEx|NA|Extended process data monitor with openfiles stats. It monitors process elapsed time, CPU time, memory used, shared memory,size and open files of a process.|NO|Process And Thread|ProcessDataEx.json
ThreadStats|cm_ps_thread_stats.gdf|2|cm_ps_thread_stats|shell|NA|Linux,LinuxEx,Solaris,SunOS|DVM|Thread Stats Monitor. It monitors thread elapsed time and CPU time.|Yes|Process And Thread|ThreadDataEX.json
#TCP
TcpStatesCount|cm_tcp_states_count.gdf|2|cm_tcp_states_count|shell|NA|Linux,LinuxEx,Solaris,SunOS,AIX_Shared_LPAR,AIX_Dedicated_LPAR,HPUX|NA|TCP states count monitor. It monitors number of TCP connections in different TCP states.|Yes|Network|TCPStateCount.json
TcpStatesCountV2|cm_tcp_states_count_v2.gdf|2|cm_tcp_states_count -v 2|shell|NA|Linux,LinuxEx,Solaris,SunOS,AIX_Shared_LPAR,AIX_Dedicated_LPAR,HPUX|NA|TCP states count monitor. It monitors number of TCP connections in different TCP states.|Yes|Network|TCPStateCount.json
TcpStatesCountV3|cm_tcp_states_count_v3.gdf|2|cm_tcp_states_count_v3|shell|NA|Linux,LinuxEx|DVM2:0:0|TCP states count monitor. It monitors number of TCP connections in different TCP states.|Yes|Network|NetworkTCPStatesCountV3.json
WindowsTcpStatesCountV3|cm_win_tcp_states_count_v3.gdf|2|cm_tcp_states_count_v3|shell|NA|Windows|DVM2:0:0|TCP states count monitor. It monitors number of TCP connections in different TCP states.|Yes|Windows Network|TCPStateCountV3.json
WinTcpStatesCountV3|cm_win_tcp_states_count_v3.gdf|2|CavMonCScript.exe /nologo cm_tcp_states_count_v3|vbs|NA|Windows|DVM:0:1|TCP states count monitor. It monitors number of TCP connections in different TCP states.|Yes|Windows Network|WinTcpStatesCountV3.json

#TcpStats|cm_tcp_stats.gdf|2|cm_tcp_stats|shell|NA|AIX_Shared_LPAR,AIX_Dedicated_LPAR|NA|TCP stats  monitor. It monitors  statistics on TCP protocol such as number of packets and ACK send, received and different errors. 
TcpStats|cm_tcp_stats_aix.gdf|2|cm_tcp_stats_aix|shell|NA|AIX_Shared_LPAR,AIX_Dedicated_LPAR|NA|TCP stats  monitor for AIX. It monitors  statistics on TCP protocol such as number of packets and ACK send, received and different errors.|Yes|Network|NA 
TcpStatsRate|cm_tcp_stats_rate_aix.gdf|2|cm_tcp_stats_aix|shell|-r|AIX_Shared_LPAR,AIX_Dedicated_LPAR|NA|TCP stats  monitor for AIX. It monitors (per second)` statistics on TCP protocol such as number of packets and ACK send, received and different errors.|Yes|Network|NA
TcpStats|cm_tcp_stats_linux.gdf|2|cm_tcp_stats_linux|shell|NA|LinuxEx|NA|TCP stats  monitor for Linux. It monitors  statistics on TCP protocol such as number of packets and ACK send, received and different errors.|Yes|Network|NA
TcpStats|cm_tcp_stats_solaris.gdf|2|cm_tcp_stats_solaris|shell|NA|Solaris,SunOS|NA|TCP stats  monitor for Solaris,SunOS. It monitors  statistics on TCP protocol such as number of packets and ACK send, received and different errors.|Yes|Network|NA
TcpStatsRate|cm_tcp_stats_rate_solaris.gdf|2|cm_tcp_stats_solaris|shell|-r|Solaris,SunOS|NA|TCP stats  monitor for Solaris,SunOS. It monitors (per second) statistics on TCP protocol such as number of packets and ACK send, received and different errors.|Yes|Network|NA
TcpStatsRate|cm_tcp_stats_rate_linux.gdf|2|cm_tcp_stats_linux|shell|-r|LinuxEx|NA|TCP stats  monitor for Linux. It monitors (per second) statistics on TCP protocol such as number of packets and ACK send, received and different errors.|Yes|Network|NA
TCPQueueStats|cm_tcp_queue_stats.gdf|2|cm_tcp_queue_stats|shell|NA|Linux,LinuxEx|CM|Queue status of open network sockets.|Yes|System|TcpQueue.json
TCPListenQueueStats|cm_tcp_listen_queue_stats.gdf|2|cm_tcp_listen_queue_stats|shell|NA|Linux,LinuxEx|DVM:0:0|TCP Listen Queue stats|Yes|Network|NA
#
#UDP
UdpStats|cm_udp_stats_linux.gdf|2|cm_udp_stats_linux|shell|NA|LinuxEx|NA|UDP stats  monitor for Linux. It monitors  statistics on UDP protocol such as number of packets send, received and different errors.|Yes|Network|NA
UdpStatsRate|cm_udp_stats_rate_linux.gdf|2|cm_udp_stats_linux|shell|-r|LinuxEx|NA|UDP stats  monitor for Linux. It monitors (per second) statistics on UDP protocol such as number of packets send, received and different errors.|Yes|Network|NA
#
DNSExpiry|cm_dns_expiry.gdf|2|cm_dns_expiry|shell|NA|Linux,LinuxEx|NA|CM DNS expiry|Yes|DNS And Certificate|DNSExpiry.json
CertExpiry|cm_cert_expiry.gdf|2|cm_cert_expiry|shell|NA|Linux,LinuxEx|NA|Certficate expiry.|Yes|DNS And Certificate|CertExpiry.json
ServerCount|cm_server_count.gdf|2|cm_server_count|shell|NA|Linux,LinuxEx|DVM2:0:0:1|Server Count Monitor.|Yes|System|ServerCount.json
#System Stats Extended
SystemStatsExtended|cm_vmstat_ex_aix.gdf|2|cm_vmstat_ex_aix|shell|NA|AIX_Dedicated_LPAR|NA|System stats monitor. It monitors information  about  processes, memory, paging, block IO, traps and cpu activity.|Yes|System|NA
SystemStatsExtended|cm_vmstat_ex_aix_ex.gdf|2|cm_vmstat_ex_aix_ex|shell|NA|AIX_Shared_LPAR|NA|System stats monitor. It monitors information  about  processes, memory, paging, block IO, traps and cpu activity.|Yes|System|NA
SystemStatsExtended|cm_vmstat_ex_linux_ex.gdf|2|cm_vmstat_ex_linux_ex|shell|NA|Linux,LinuxEx|NA|System stats monitor. It monitors information  about  processes, memory, paging, block IO, traps and cpu activity.|Yes|System|NA
SystemStatsExtended|cm_vmstat_ex_solaris.gdf|2|cm_vmstat_ex_solaris|shell|NA|Solaris,SunOS|NA|System stats monitor. It monitors information  about  processes, memory, paging, block IO, traps and cpu activity.|Yes|System|NA
#IBM MQ Stats
#IBMMQStats|cm_ibm_mq_qstats.gdf|2|cm_ibm_mq_ex_stats|java|NA|All|NA|IBM MQ stats monitor. It monitors real time statistics about queue details(depth, count, QueueFullPct) and rate of messages coming off/on to the MQ local queue from IBM MQ Server.|No|IBM MQ|NA
#Tibco Topic Stats
TibcoTopicStats|cm_tibco_topic_stats.gdf|2|cm_tibco_topic_stats|java|NA|All|NA|Tibco Topic stats monitor. It monitors statistics about Topics Subscriber count, Consumer count, Transporters count, inbound outboud rate of messages from Tibco Server.|Yes|Tibco|TibcoTopicMonitor.json
TibcoQueueStats|cm_tibco_queue_stats.gdf|2|cm_tibco_queue_stats|java|NA|All|NA|Tibco Queue stats monitor. It monitors statistics about message queue.|Yes|Tibco|TibcoQueueMonitor.json
#Access Log Stats_for_ms 
AccessLog|cm_access_log.gdf|2|cm_access_log_stats|java|NA|All|DVM:1:0|Access Log monitor. It monitors service time and request rate for user specified URL(s) or/and overall URL(s) from Access logs.|Yes|Access Log|AccessLogStats.json
AccessLogV1|cm_access_logv1.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log V1 monitor. It monitors service time, request rate and throughput per status code series for user specified URL(s) or/and overall URL(s) from Access logs.|Yes|Access Log|AccessLogStats.json
AccessLogV2|cm_access_logv2.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log V2 monitor. It is same as AccessLogV1 except graph type of request/second is 'times'.|Yes|Access Log|AccessLogStatsExtendedV2.json
AccessLogV3|cm_access_logv3.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log V3 monitor. It is same as AccessLogV2 except it also have request percentage graph.|Yes|Access Log|AccessLogStatsExtendedV2.json
AccessLogV4|cm_access_logv4.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log V4 monitor. It is same as AccessLogV3 except graph type of request percentage is 'times'.|Yes|Access Log|AccessLogStatsExtendedV2.json
AccessLogV5|cm_access_logv5.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log V5 monitor. It is same as AccessLogV4 except it also have response percentile graph.|Yes|Access Log|AccessLogStatsExtendedV5.json
AccessLogV6|cm_access_logv6.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log V6 monitor. It is same as AccessLogV5 except it also have request percentage graph for all status code.|Yes|Access Log|AccessLogStatsExtendedV5.json
AccessLogCustomStats|cm_custom_access_log_stats.gdf|2|cm_custom_access_log_stats|java|NA|All|DVM:0:0|Access Log Stats Customized monitor. It monitors service time and request rate per status code series for user specified URL(s) or/and overall URL(s) from Access logs.|Yes|Access Log|AccessLogCustomStats.json
#Access log in Sec
AccessLogStats|cm_access_log_stats.gdf|2|cm_access_log_stats|java|NA|All|DVM:1:0|Access Log Stats monitor. It monitors service time and request rate for user specified URL(s) or/and overall URL(s) from Access logs.|Yes|Access Log(ServiceTime in sec)|AccessLogStats.json
AccessLogStatsExtended|cm_access_log_stats_ex.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log Stats Extended monitor. It monitors service time, request rate and throughput per status code series for user specified URL(s) or/and overall URL(s) from Access logs.|Yes|Access Log(ServiceTime in sec)|AccessLogStats.json
AccessLogStatsExtendedV2|cm_access_log_stats_ex_v2.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log Stats Extended V2 monitor. It is same as AccessLogStatsExtended except graph type of request/second is 'times'.|Yes|Access Log(ServiceTime in sec)|AccessLogStatsExtendedV2.json
AccessLogStatsExtendedV3|cm_access_log_stats_ex_v3.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log Stats Extended V3 monitor. It is same as AccessLogStatsExtendedV2 except it also have request percentage graph.|Yes|Access Log(ServiceTime in sec)|AccessLogStatsExtendedV2.json
AccessLogStatsExtendedV4|cm_access_log_stats_ex_v4.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log Stats Extended V3 monitor. It is same as AccessLogStatsExtendedV3 except graph type of request percentage is 'times'.|Yes|Access Log(ServiceTime in sec)|AccessLogStatsExtendedV2.json
AccessLogStatsExtendedV5|cm_access_log_stats_ex_v5.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log Stats Extended V5 monitor. It is same as AccessLogStatsExtendedV4 except it also have response percentile graph.|Yes|Access Log(ServiceTime in sec)|AccessLogStatsExtendedV5.json
AccessLogStatsExtendedV6|cm_access_log_stats_ex_v6.gdf|2|cm_access_log_stats_ex|java|NA|All|DVM:1:0|Access Log Stats Extended V6 monitor. It is same as AccessLogStatsExtendedV5 except it also have request percentage graph for all status code.|Yes|Access Log(ServiceTime in sec)|AccessLogStatsExtendedV5.json
AccessLogStatusStats|cm_access_log_status_stats.gdf|2|cm_access_log_status_stats|java|NA|All|DVM:1:0|Access Log Status Stats monitor.It will show number of request for each status code and it's percentage.|Yes|Access Log(ServiceTime in sec)|AccessLogStats.json
#Netty Access Log Stats
NettyAccessLogStats|cm_netty_access_log_stats.gdf|2|cm_netty_access_log_stats|java|NA|All|CM|Netty Access Log Stats monitor. It monitors service time and request rate for overall URL(s) from Netty Server Access logs.|Yes|Access Log|NettyAccessLogStats.json
#CacheStats
CacheStats|cm_cache_stats.gdf|2|cm_cache_stats|shell|NA|Linux,LinuxEx|DVM:0:1|Virtual Memory Stat.|Yes|Cache|Cachestats.json
CacheStats|cm_cache_stats.gdf|2|cm_cache_stats_solaris|shell|NA|Solaris,SunOS|DVM:0:1|Virtual Memory Stat.|Yes|Cache|Cachestats.json
#Dyno Stats
DynoSystemStats|cm_dyno_system_stats.gdf|2|cm_file|java|-h 0 -t sample,sample,sample,sample,cumulative,cumulative,sample,sample,sample -C NA,NA,NA,NA,NA,NA,NA,NA,NA -F "P:"memory_total%3D*MB",P:"memory_rss%3D*MB",P:"memory_cache%3D*MB",P:"memory_swap%3D*MB",P:"memory_pgpgin%3D*pages",P:"memory_pgpgout%3D*pages",P:"load_avg_1m%3D*+sample",P:"load_avg_5m%3D*+sample",P:"load_avg_15m%3D*$""|All|CM:1:1|Dyno System Stats monitor. It monitors information related to CPU load average, Memory stats of Dyno|No|Heroku|NA
DynoServiceStats|cm_dyno_service_stats.gdf|2|cm_file|java|-h 0 -d "%09" -t times,times,rate -C NA,NA,kbps -F "P:"connect%3D*ms",P:"service%3D*ms",P:"bytes%3D*$""|All|CM:1:1|Dyno System Stats monitor. It monitors information related to response time, router queue time and response throughput of Dyno|No|Heroku|NA
#F5 System Stats
F5SystemStats|cm_f5_snmp_sys_stats.gdf|2|cm_f5_snmp_sys_stats|shell|NA|All|NA|System stats monitor for F5. It monitors client and server stats like packets/bytes in and out.|Yes|F5|F5SystemStats.json
SNMPF5PoolStats|cm_snmp_F5_pool_stats.gdf|2|cm_snmp_F5_pool_stats|shell|NA|Linux,LinuxEx|DVM:0:1|It get stats from F5 agent through snmp commands and parse the output to show data.|Yes|F5|SNMPStats.json
#
NetworkBandwidth|cm_network_bandwidth.gdf|2|cm_network_bandwidth|shell|-v Controller -P 1|Linux,LinuxEx|DVM2:0:0|Network Bandwidth Monitor. Its monitors for Network Bandwidth(Mbps) and Network Bytes Tranferred (MB) and Num of Threads on NC machine|Yes|Network|NA

NetworkDelay|cm_network_delay.gdf|2|cm_network_delay|shell|NA|Linux,LinuxEx,HPUX|NA|Network delay between two nodes. Source node is the node selected in the Server Name list box.|Yes|Network|NetworkDelayEx.json
WindowsNetworkDelayStats|cm_network_delay.gdf|2|cm_windows_networkdelay_stats|java|NA|All|CM|Windows monitor for Network Delay stats.|Yes|Windows Network|NetworkDelayMon.json
#
#Socket Stats
SockStats|cm_sock_stats.gdf|2|cm_sock_stats|shell|NA|LinuxEx|NA|Gathers socket statistics from the virtual /proc filesystem(procfs).|Yes|Network|NA
#
#Uptime
UpTime|cm_uptime.gdf|2|cm_uptime|shell|NA|Linux,LinuxEx,Solaris,SunOS,AIX_Shared_LPAR,AIX_Dedicated_LPAR|NA|Uptime monitor. It monitors how long the system has been running, how many users are  currently  logged on and the system load averages for the past 1, 5, and 15 minutes.|Yes|System|NA
UpTimeEx|cm_uptime_ex.gdf|2|cm_uptime_ex|shell|NA|Linux,LinuxEx,Solaris,SunOS,AIX_Shared_LPAR,AIX_Dedicated_LPAR|NA|Uptime monitor. It monitors how long the system has been running, how many users are  currently  logged on and the system load averages for the past 1, 5, 15 minutes, Open file hard/soft limit,Open Files and Open Files (Pct).|Yes|System|NA
#Weblogic
#WeblogicJdbcStats|cm_weblogic_jdbc_stats.gdf|2|cm_weblogic_jdbc_stats|shell|NA|Linux,LinuxEx,Solaris,SunOS,AIX_Shared_LPAR,AIX_Dedicated_LPAR|NA|Weblogic JDBC stats monitor. It monitors different statistics on JDBC connection pool such as active connections, delay time and failures.
#WeblogicQStats|cm_weblogic_qstats.gdf|2|cm_weblogic_qstats|shell|NA|Linux,LinuxEx,Solaris,SunOS,AIX_Shared_LPAR,AIX_Dedicated_LPAR|NA|Weblogic queue stats monitor. It monitors different statistics on queues  such as thread idle count, pending request count, serviced request count.
#WeblogicStats|cm_weblogic_jdbc_stats.gdf|2|cm_weblogic_monitor|java|NA|Linux,LinuxEx,Solaris,SunOS,AIX_Shared_LPAR,AIX_Dedicated_LPAR|NA|Weblogic stats monitor. It monitors different statistics of mbean.
WeblogicJdbcStats|cm_weblogic_jdbc_stats.gdf|2|cm_weblogic_monitor|java|-type JDBCDataSourceRuntimeMBeans|All|DVM:0:0|Weblogic JDBC stats monitor. It monitors different statistics of JDBC connection pool such as active connection, delay time and failures.|Yes|Weblogic|WLJDBCDatasource.json
WeblogicJvmStats|cm_weblogic_jvm_stats.gdf|2|cm_weblogic_monitor|java|-type JVMRuntime|All|DVM:0:0|Weblogic JVM stats monitor. It monitors different statistics of jvm.|Yes|Weblogic|WebLogic.json
WeblogicThreadPoolStats|cm_weblogic_thread_pool_stats.gdf|2|cm_weblogic_monitor|java|-type ThreadPoolRuntime|All|DVM:0:0|Weblogic ThreadPool stats monitor. It monitors different statistics of thread pool such as execute thread count, hogging thread.|Yes|Weblogic|WebLogic.json
WeblogicSessionStats|cm_weblogic_session_stats.gdf|2|cm_weblogic_monitor|java|-type WebAppComponentRuntime|All|DVM:0:0|Weblogic Session stats monitor. It monitors current session, session high and total session counts per server.|Yes|Weblogic|WebLogicSession.json
WeblogicThreadPoolStatsV2|cm_weblogic_thread_pool_stats_v2.gdf|2|cm_weblogic_monitor|java|-V 2 -type ThreadPoolRuntime|All|DVM:0:0|Weblogic ThreadPool stats monitor. It monitors different statistics of thread pool such as execute thread count, hogging thread and Active Ex|Yes|Weblogic|WebLogic.json
WeblogicJMSQueueStats|cm_weblogic_jms_queue_stats.gdf|2|cm_weblogic_monitor|java|-type JMSDestinationRuntimeMBean|All|DVM:0:0|Weblogic JMS Queue stats monitor. It monitors different statistics of JMS Server Queues such as Number Of Consumer Acessing Queue, Bytes Recieved In Queue , Message Recieved In Queue etc.|Yes|Weblogic|WLJMSQueueStat.json
WeblogicJdbcExtendedStats|cm_weblogic_jdbc_V2_stats.gdf|2|cm_weblogic_monitor|java|-type JDBCDataSourceRuntimeMBeans -isPrepStmtUsed|All|DVM:0:0|Weblogic JDBC Extended stats monitor. It monitors different statistics of JDBC connection pool such as active connection, delay time and ,prepared statement cache hits and miss count .|Yes|Weblogic|WLJDBCDatasource.json
WeblogicMinThreadConstraintStats|cm_weblogic_minthread_constraint_stats.gdf|2|cm_weblogic_monitor|java|-type MinThreadsConstraintRuntimeMBean|All|DVM:0:0|Weblogic Min Thread Constraint stats monitor. It monitors different statistics of weblogic min thread such as Number of completed request, Number of pending requests, Number of executing requests etc.|Yes|Weblogic|WebLogic.json
WeblogicMinThreadConstraintExtendedStats|cm_weblogic_minthread_constraint_ex_stats.gdf|2|cm_weblogic_monitor|java|-type MinThreadsConstraintRuntimeMBean|All|DVM:0:0|Weblogic Min Thread Constraint stats monitor. It monitors different statistics of weblogic min thread such as Number of completed request, Number of pending requests, Number of executing requests etc.|Yes|Weblogic|WebLogic.json
WeblogicTransactionsStats|cm_weblogic_transaction_name_stats.gdf|2|cm_weblogic_monitor|java|-type TransactionNameRuntimeMBeans|All|DVM:0:0|Weblogic Transaction RunTime stats monitor.It monitors statistics for all transactions in the weblogic server and provide statistics such as TransactionsTotalCount,TransactionsCommittedTotalCount etc.|Yes|Weblogic|WebLogic.json
#cm_weblogic_jdbc_V3_stats
WeblogicJdbcExtendedStatsV3|cm_weblogic_jdbc_V3_stats.gdf|2|cm_weblogic_monitor|java|-type JDBCDataSourceRuntimeMBeans -isPrepStmtUsed -isExtendedStmtCacheMetric|All|DVM:0:0|Weblogic JDBC Extended stats monitor. It monitors different statistics of JDBC connection pool such as active connection, delay time and ,prepared statement cache hits and miss count .|Yes|Weblogic|WLJDBCDatasource.json


#JBoss_EAP
JBossEAPThreadPoolStats|cm_jboss_eap_thread_pool_stats.gdf|2|cm_jboss_eap_stats|java|-T ThreadPool|All|DVM:0:0|JBoss EAP Server ThreadPool Stats Monitor. It monitors number of activeCount, currentThreadCount, taskCount, largestThreadCount, completedTaskCount, maxThreads, rejectedCount, queueSize counters.|Yes|JBoss EAP|JbossEAPThreadpool.json
JBossEAPJdbcPoolStats|cm_jboss_eap_jdbc_pool_stats.gdf|2|cm_jboss_eap_stats|java|-T JDBCPool|All|DVM:0:0|JBoss EAP Jdbc Pool Stats Monitor. It monitors  AverageBlockingTime, MaxWaitTime, ActiveCount, CreatedCount, MaxCreationTime, MaxWaitCount, TotalCreationTime, AvailableCount, MaxUsedCount, TimedOut, TotalBlockingTime, AverageCreationTime, InUseCount, DestroyedCount counters.|Yes|JBoss EAP|JbossEAP.json
JBossEAPSessionStats|cm_jboss_eap_session_stats.gdf|2|cm_jboss_eap_stats|java|-T SessionStats|All|DVM:0:0|JBoss EAP Session Stats Monitor. It monitors expiredSessions, rejectedSessions, maxActiveSessions, sessionMaxAliveTime ,sessionCreated, sessionAvgAliveTime, activeSessions, duplicateSessionIds etc.|Yes|JBoss EAP|JbossEAPSessionStats.json
